size,heap
931,17462
932,17487
933,17579
934,17538
935,17565
936,17605
937,17577
938,17593
939,17656
940,17669
941,17711
942,17619
943,17621
944,17744
945,17819
946,17864
947,17779
948,17838
949,17865
950,17850
951,17895
952,17978
953,18034
954,17915
955,17952
956,18106
957,17908
958,18100
959,18007
960,18045
961,18125
962,18151
963,18144
964,18213
965,18183
966,18161
967,18197
968,18308
969,18335
970,18196
971,18277
972,18351
973,18363
974,18433
975,18491
976,18490
977,18387
978,18506
979,18430
980,18492
981,18575
982,18605
983,18577
984,18580
985,18623
986,18618
987,18719
988,18736
989,18700
990,18749
991,18752
992,18795
993,18659
994,18900
995,18903
996,18930
997,18794
998,18837
999,18919
